ghe_code,cause_ru,eligibility,module,candidate_inputs_or_gap,registry_evidence,current_endpoint_limitation,source_urls,sex_age_mortality_data,complete_sex_age_biomarker_coefficients_extracted,fitted_absolute_cause_specific_mortality_model,deaths_RUS,deaths_DEU,deaths_USA
760,Лимфомы и множественная миелома,compatible,Онкологический: требуется обзор по локализации,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,9980.33884425068,13398.4002611214,39481.0524474036
770,Лейкозы,compatible,Онкологический: требуется обзор по локализации,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,8163.424749021329,9423.104971860059,26879.038948147103
780,Другие злокачественные опухоли,compatible,Онкологический: требуется обзор по локализации,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,22127.6272048954,13008.7989650468,21722.2366842981
790,Прочие новообразования,compatible,Онкологический: требуется обзор по локализации,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,804.95634855605,8556.521630294848,16427.0767188385
800,"Сахарный диабет, без почечных осложнений GHE",compatible,Метаболический,HbA1c; глюкоза; eGFR/UACR; липиды; АД,PREVENT; CKDPC2010,"Не извлечён прогноз именно смерти, кодируемой GHE800; почечные осложнения учтены в другом исходе",https://pubmed.ncbi.nlm.nih.gov/37947085/;https://pubmed.ncbi.nlm.nih.gov/20483451/,"source available: male, female, both sexes; 8 age strata",False,False,37911.460740590795,20891.838348199697,61054.809441731006
814,"Другие эндокринные, кроветворные и иммунные болезни",compatible,Требуется отдельный модуль/разделение исхода,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,2116.9576999722703,13060.2970099804,57689.4599551455
860,"Расстройства, связанные с алкоголем",mixed_or_unreviewed,Требуется отдельный модуль/разделение исхода,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,20289.0639535549,5822.15952174599,20546.4116382749
870,"Расстройства, связанные с наркотиками",mixed_or_unreviewed,Требуется отдельный модуль/разделение исхода,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,5483.69576838013,1553.59154384564,109504.368349767
950,Болезнь Альцгеймера и другие деменции,compatible,Нейродегенеративный,Симптомы/когнитивный статус; APS2 или платформенно определённый p-tau217 в отдельном диагностическом модуле,PTAU_APS2_2024,"Диагностика патологии Альцгеймера, не смертность от всех деменций",https://pubmed.ncbi.nlm.nih.gov/39068545/,"source available: male, female, both sexes; 8 age strata",False,False,50500.8584035222,65067.4357742203,279879.430343168
960,Болезнь Паркинсона,compatible,Паркинсонизм,Специальная смертностная модель/панель в реестр пока не извлечена,нет модели в текущем реестре,Статистика причин смерти не устанавливает прогностическую ценность маркера,,"source available: male, female, both sexes; 8 age strata",False,False,10209.7945105747,12738.6987085442,38768.61029543079
1010,Другие неврологические болезни,mixed_or_unreviewed,Требуется отдельный модуль/разделение исхода,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,8113.10669335109,10285.549074149101,38468.1227863328
1120,"Гипертензивная болезнь сердца, группа GHE",compatible,Гипертензивный/сердечный,АД; eGFR/UACR; NT-proBNP,PREVENT; HF_BIOMARKERS2025,"Риск ССЗ/СН, не отдельная смерть по группе I11-I15",https://pubmed.ncbi.nlm.nih.gov/37947085/;https://pubmed.ncbi.nlm.nih.gov/41168946/,"source available: male, female, both sexes; 8 age strata",False,False,14495.443591558302,40597.2863714142,98676.0634377127
1130,Ишемическая болезнь сердца,compatible,Атеросклеротический сердечно-сосудистый,АД; курение; липиды; HbA1c; eGFR/UACR; NT-proBNP как расширение,SCORE2; PREVENT; NTBNP2016,"События ССЗ, включая нефатальные, не только смерть",https://pubmed.ncbi.nlm.nih.gov/34120177/;https://pubmed.ncbi.nlm.nih.gov/37947085/,"source available: male, female, both sexes; 8 age strata",False,False,497493.289717854,171637.358762935,497775.55738336797
1140,Инсульт и его последствия,compatible,Цереброваскулярный,АД; курение; липиды; HbA1c; почечные показатели,SCORE2; PREVENT,Композитные события; нет готовых коэффициентов смертности от инсульта,https://pubmed.ncbi.nlm.nih.gov/34120177/;https://pubmed.ncbi.nlm.nih.gov/37947085/,"source available: male, female, both sexes; 8 age strata",False,False,303131.735046749,59310.7843555845,172146.26218466298
1150,"Кардиомиопатии, миокардит, эндокардит",mixed_or_unreviewed,Кардиомиопатии и воспалительные болезни сердца,После уточнения диагноза: NT-proBNP и клинический профиль СН,MAGGIC_VALIDATION2014,Прогноз при установленной СН; не соответствует всему смешанному исходу,https://pubmed.ncbi.nlm.nih.gov/24464911/,"source available: male, female, both sexes; 8 age strata",False,False,51656.295043707505,10378.409959436302,29641.9569987814
1160,Другие болезни кровообращения,mixed_or_unreviewed,Требуется отдельный модуль/разделение исхода,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,40900.5403935335,62309.05100426,109537.979323206
1180,ХОБЛ,compatible,Респираторный,Спирометрия FEV1; BMI; одышка mMRC; 6-минутная ходьба,BODE2004,Прогноз смерти при установленной ХОБЛ; не скрининг здоровых,https://pubmed.ncbi.nlm.nih.gov/14999112/,"source available: male, female, both sexes; 8 age strata",False,False,30722.6591362348,42666.9612928775,168056.84621409
1220,Язвенная болезнь,compatible,Требуется отдельный модуль/разделение исхода,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,10994.9007622186,2762.62684302662,4009.0741999409697
1230,"Цирроз и алкогольная болезнь печени, группа GHE",compatible,Печёночный,AST; ALT; тромбоциты/FIB-4; альбумин; билирубин; INR,FIB4_KOREA2023; MELD3_US2021,"FIB-4: ассоциации; MELD: тяжёлая болезнь, 90 дней, исход включает инфекции",https://pubmed.ncbi.nlm.nih.gov/37164111/;https://pubmed.ncbi.nlm.nih.gov/34481845/,"source available: male, female, both sexes; 8 age strata",False,False,45480.1130136461,16534.7367075256,58525.405895433
1248,Панкреатит,compatible,Требуется отдельный модуль/разделение исхода,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,12322.3859694026,2094.13044490404,5021.257069682611
1250,Другие болезни пищеварения,mixed_or_unreviewed,Требуется отдельный модуль/разделение исхода,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,18409.147662110703,16079.3716996134,53078.7152458072
1270,"Болезни почек, группа GHE",mixed_or_unreviewed,Почечный,Креатинин/eGFR; UACR; расширение — цистатин C,CKDPC2010; KFRE2016,Ассоциации общей смерти / риск почечной недостаточности; кодовая группа требует разделения,https://pubmed.ncbi.nlm.nih.gov/20483451/;https://pubmed.ncbi.nlm.nih.gov/26757465/,"source available: male, female, both sexes; 8 age strata",False,False,14007.5266586129,26989.172543818502,104192.803724811
1300,Другие болезни мочевой системы,mixed_or_unreviewed,Требуется отдельный модуль/разделение исхода,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,14769.9814399061,8069.339612897741,21933.4943243413
